"","X","price","totsp","livesp","kitsp","dist","metrdist","walk","brick","floor"
"58",58,252,132,74,23,12.5,3,1,1,0
"59",59,199,127,62,20,13.5,10,0,1,1
"60",60,371,120,59,15,7,10,0,0,1
"61",61,371,120,59,15,7,10,0,0,1
"62",62,250,74,56,8,4.5,7,1,1,1
"63",63,151,111,64,16,14.5,10,0,1,1
"64",64,160,119,68,10,11,7,1,1,0
"65",65,190,73,41,11,3.5,1,1,1,1
"66",66,180,71,42,8,7,15,0,0,1
"67",67,299,99,65,11,9,10,1,1,1
"68",68,250,74,47,10,3,5,1,1,0
"69",69,200,85,54,14,14.5,15,1,0,1
"70",70,210,94,59,11,12.7,2,1,1,1
"71",71,132,94,60,11,6.5,3,1,0,0
"72",72,150,112,64,16,14.5,5,0,0,1
"73",73,120,56,42,6,12,5,1,1,1
"74",74,330,104,60,11,10.5,7,0,1,1
"75",75,460,153,84,18,9,5,1,1,1
"76",76,370,111,60,13,8,5,1,1,1
"77",77,380,130,72,15,7,5,0,0,1
"78",78,126,84,56,9,3.5,4,1,1,1
"79",79,299,100,75,12,6.5,5,1,1,1
"80",80,150,92,69,8,4.5,10,1,1,1
"81",81,79,65,45,7,6,7,1,0,1
"82",82,120,66,40,19,7.5,10,1,1,1
"83",83,230,103,51,14,14.5,15,1,1,1
"84",84,210,80,42,20,8,5,1,0,1
"85",85,160,68,44,8,17,5,1,0,1
"86",86,230,95,64,10,10.5,15,1,1,1
"87",87,90,64,39,9,6,5,0,1,1
"88",88,150,108,56,15,11,5,1,1,1
"89",89,200,90,60,10,12,10,1,1,1
"90",90,190,85,53,12,12,3,1,0,0
"91",91,96,76,53,8,6,10,0,1,1
"92",92,130,56,40,5,3.5,10,1,1,0
"93",93,185,66,44,6,9,3,1,1,0
"94",94,240,81,54,8,9,3,1,1,0
"95",95,150,54,39,6,7,3,1,1,1
"96",96,135,84,55,11,3,15,1,1,1
"97",97,110,85,54,10,6,10,0,1,1
"98",98,130,56,42,7,14.5,3,1,1,1
"99",99,120,75,48,11,3,15,1,1,1
"100",100,450,145,82,14,4.5,3,1,1,1
"101",101,180,83,53,8,12,5,1,1,1
"102",102,170,92,62,18,6,7,1,1,1
"103",103,315,118,54,12,3.5,2,1,1,1
"104",104,160,92,69,14,4.5,10,1,1,1
"105",105,245,80,49,10,3,10,1,1,0
"106",106,152,108,56,15,11,5,1,1,1
"107",107,113,91,52,9,6.5,10,1,1,1
"108",108,451,156,80,20,10.5,5,0,1,1
"109",109,73,53,34,6,7.5,3,1,1,0
"110",110,309,107,72,17,10.5,1,1,1,1
"111",111,245,83,48,12,7.5,10,1,1,1
"112",112,170,82,52,20,5,1,1,0,1
"113",113,75,79,47,8,17,10,0,0,1
"114",114,145,63,41,8,3.5,3,1,0,1
"115",115,130,96,57,9,7.5,5,0,1,1
"116",116,270,97,56,18,8,10,1,1,1
"117",117,109,79,45,13,14.5,5,0,1,1
"118",118,371,128,70,18,7,5,0,0,1
"119",119,125,66,40,10,12,20,1,0,1
"120",120,212,119,70,17,9,5,0,1,1
"121",121,115,86,67,13,13.5,15,0,0,1
"122",122,120,77,51,12,4.5,7,0,1,1
"123",123,132,88,63,8,8,5,1,1,1
"124",124,235,92,52,15,3.5,3,1,0,1
"125",125,250,78,47,10,10.5,7,1,0,1
"126",126,171,96,50,18,7,5,1,0,1
"127",127,120,100,63,9,13,7,0,0,1
"128",128,110,51,34,6,3.5,7,1,0,1
"129",129,90,72,53,10,11.5,5,0,1,1
"130",130,135,75,43,11,12.7,15,1,0,1
"131",131,227,134,70,16,9,5,1,0,1
"132",132,215,76,55,8,7.5,2,1,1,1
"133",133,210,72,49,7,7.5,5,1,1,1
"134",134,200,77,46,10,3,15,1,1,1
"135",135,85,65,43,5,7.5,5,1,1,1
"136",136,125,63,43,6,17,5,1,1,1
"137",137,220,81,46,13,9,7,1,0,1
"138",138,114,83,46,12,7,10,1,0,1
"139",139,210,80,49,10,12.5,5,1,1,1
"140",140,225,101,65,15,10.5,20,1,1,1
"141",141,109,79,45,13,14.5,7,0,1,1
"142",142,201,82,55,9,13.5,7,1,0,1
"143",143,100,77,52,9,10.5,15,0,1,1
"144",144,260,135,75,20,12.5,3,1,1,0
"145",145,130,86,54,13,6,10,1,0,1
"146",146,193,78,55,8,7.5,10,1,0,1
"147",147,196,78,46,10,14.5,5,1,0,1
"148",148,115,57,38,8,12,5,1,0,1
"149",149,120,76,49,9,3,10,1,1,0
"150",150,115,77,51,7,5,5,1,1,0
"151",151,97,80,48,8,13,5,0,1,1
"152",152,230,80,46,13,5,4,1,1,1
"153",153,167,113,64,13,14.5,5,0,1,1
"154",154,160,114,67,15,14.5,10,0,0,1
"155",155,105,72,52,8,6,15,0,1,1
"156",156,200,121,71,12,10,3,1,0,1
"157",157,200,72,46,9,9,10,1,1,1
"158",158,197,70,46,7,4.5,3,1,1,1
"159",159,140,56,40,5,9,5,1,1,0
"160",160,149,77,45,10,13,2,1,0,1
"161",161,160,84,50,9,12.7,1,1,0,1
"162",162,165,99,70,9,7.5,7,0,1,1
"163",163,95,63,42,8,3.5,5,1,1,1
"164",164,170,81,60,13,13,5,1,0,1
"165",165,116,75,51,9,3.5,5,0,1,0
"166",166,140,99,51,12,10.5,1,1,0,0
"167",167,153,80,40,25,10.5,10,0,0,1
"168",168,163,115,66,15,13.5,10,0,0,1
"169",169,226,82,52,10,3,3,1,0,1
"170",170,114,93,51,12,10,7,1,0,0
"171",171,129,99,55,11,10.5,15,1,0,0
"172",172,125,83,53,10,5,12,1,0,0
"173",173,180,79,45,10,8,15,1,0,1
"174",174,145,74,45,10,15.5,15,1,0,1
"175",175,141,113,58,13,13.5,10,0,0,1
"176",176,78,63,47,6,13.5,5,0,1,1
"177",177,185,78,53,8,7.5,15,1,1,1
"178",178,225,80,56,9,9,5,1,1,1
"179",179,170,86,56,10,12,2,1,0,1
"180",180,147,77,44,10,13,2,1,0,1
"181",181,220,83,53,9,4.5,5,1,0,0
"182",182,179,65,45,8,9,5,1,1,1
"183",183,265,100,56,14,7,10,0,0,1
"184",184,245,85,54,12,9,7,1,1,1
"185",185,88,72,51,9,11.5,10,0,1,1
"186",186,177,74,45,8,5,15,1,1,1
"187",187,155,60,40,11,7.5,5,1,1,1
"188",188,105,75,50,8,6.5,15,1,1,0
"189",189,199,70,46,8,7.5,7,1,1,1
"190",190,230,109,58,18,12.7,2,1,0,1
"191",191,220,100,49,13,14.5,10,1,1,1
"192",192,100,83,53,10,12,15,0,0,0
"193",193,170,65,45,7,7.5,2,1,1,1
"194",194,125,81,56,9,6,5,1,1,0
"195",195,200,71,46,8,4.5,5,1,1,0
"196",196,101,62,43,6,12,15,1,0,1
"197",197,78,64,39,8,7,10,0,0,1
"198",198,72,60,42,6,11.5,10,0,1,0
"199",199,110,77,46,10,6,10,0,0,1
"200",200,98,74,46,11,12.5,10,0,1,0
"201",201,110,86,53,9,10.5,5,0,0,0
"202",202,220,77,49,10,7.5,5,1,1,1
"203",203,155,64,36,8,8,7,1,1,0
"204",204,155,60,40,8,7.5,5,1,1,1
"205",205,194,106,60,17,9,5,0,1,1
"206",206,142,83,45,10,12.7,15,1,0,1
"207",207,170,86,59,10,17,10,0,1,1
"208",208,103,78,54,11,12,15,1,1,0
"209",209,159,109,64,13,14.5,10,0,1,1
"210",210,95,74,45,8,14.5,5,0,1,0
"211",211,115,77,50,9,3.5,7,1,0,0
"212",212,175,81,47,10,14.5,10,0,1,1
"213",213,112,79,45,8,11.5,2,1,1,1
"214",214,175,79,47,9,14.5,7,1,1,1
"215",215,200,78,50,7,8,10,1,1,1
"216",216,89,79,52,10,15.5,10,1,0,1
"217",217,118,71,41,8,12,15,0,0,1
"218",218,93,78,46,10,12,15,0,0,1
"219",219,160,77,45,10,12,15,1,0,1
"220",220,132,84,52,11,12.7,20,1,0,1
"221",221,85,59,44,6,7,1,1,0,1
"222",222,150,75,51,8,12,15,1,0,0
"223",223,250,92,57,11,9,3,1,1,1
"224",224,98,79,48,10,12,10,1,1,1
"225",225,122,93,52,14,13.5,10,1,0,1
"226",226,130,82,37,12,6,10,1,0,1
"227",227,138,95,63,9,10,10,1,0,1
"228",228,225,80,53,9,7,5,1,1,1
"229",229,99,72,50,9,7.5,10,0,1,1
"230",230,230,92,60,14,9,10,1,0,0
"231",231,100,83,48,10,12,15,0,0,0
"232",232,81,53,34,6,13,15,1,0,0
"233",233,96,60,43,6,12,15,1,0,1
"234",234,208,115,70,14,10,3,1,1,1
"235",235,170,68,39,10,4.5,10,1,1,0
"236",236,70,58,41,6,14.5,10,0,1,1
"237",237,166,77,45,11,10.5,15,1,1,1
"238",238,150,78,44,10,14.5,15,1,0,1
"239",239,190,72,46,10,9,5,1,1,1
"240",240,167,74,43,10,14.5,5,1,0,1
"241",241,165,65,45,9,9,10,1,1,1
"242",242,165,65,45,9,9,10,1,1,1
"243",243,84,76,45,10,17,10,1,0,1
"244",244,130,78,53,13,3.5,10,1,1,1
"245",245,185,80,53,9,7.5,15,1,1,1
"246",246,180,71,47,7,7.5,10,1,1,1
"247",247,220,103,49,13,14.5,10,1,1,1
"248",248,78,55,37,6,11.5,2,1,1,1
"249",249,78,55,37,6,11.5,2,1,1,1
"250",250,165,90,65,8,6,2,1,1,1
"251",251,159,107,64,13,14.5,10,0,1,1
"252",252,200,122,68,12,10,5,1,0,1
"253",253,123,58,40,7,13.5,5,0,1,1
"254",254,164,72,48,7,3.5,5,1,1,1
"255",255,118,77,43,11,7,5,0,0,1
"256",256,185,76,43,10,8,10,1,0,1
"257",257,185,68,47,8,4.5,5,1,1,1
"258",258,125,77,51,8,6,3,1,1,1
"259",259,160,68,40,9,9,10,1,1,1
"260",260,104,84,52,11,13,5,0,0,1
"261",261,158,64,44,9,7,3,1,0,1
"262",262,138,86,54,10,6,5,0,1,1
"263",263,116,77,45,10,6,7,0,0,1
"264",264,240,92,57,12,6.5,12,1,1,1
"265",265,129,69,42,9,14.5,15,1,0,1
"266",266,81,56,41,5,6,10,0,1,1
"267",267,115,77,50,9,6,10,1,1,1
"268",268,149,92,50,14,10,7,1,1,1
"269",269,132,96,56,12,10.5,7,0,0,1
"270",270,154,95,51,11,6.5,3,1,1,1
"271",271,145,74,45,11,17,10,0,0,1
"272",272,127,92,50,11,6.5,10,1,0,1
"273",273,167,74,43,10,14.5,7,1,0,1
"274",274,130,84,54,8,6.5,15,1,1,1
"275",275,92,82,48,8,13,12,0,0,1
"276",276,111,75,42,11,14.5,3,0,1,1
"277",277,185,80,45,13,12,5,0,0,1
"278",278,165,96,58,14,7,5,0,0,1
"279",279,340,125,70,18,7,10,0,1,1
"280",280,210,79,53,8,7,5,1,1,1
"281",281,123,81,48,9,12,20,0,0,0
"282",282,230,85,58,13,3,5,1,0,1
"283",283,100,58,30,6,17,1,1,0,1
"284",284,105,78,50,8,9,10,1,1,0
"285",285,155,73,49,9,10.5,15,1,1,1
"286",286,155,73,49,9,10.5,15,1,1,1
"287",287,140,75,40,11,13,5,0,0,1
"288",288,97,76,45,10,12,10,1,1,1
"289",289,105,58,44,5,17,2,1,1,1
"290",290,78,52,34,6,13,15,1,0,1
"291",291,104,80,45,13,13,5,0,0,1
"292",292,104,80,45,13,13,5,0,0,1
"293",293,170,82,52,15,5,1,1,1,1
"294",294,100,80,45,12,12.7,15,1,0,1
"295",295,122,96,54,12,13.5,10,0,0,0
"296",296,170,80,48,9,14.5,7,1,1,1
"297",297,190,81,46,12,12,5,0,0,1
"298",298,240,106,71,9,9,10,1,1,1
"299",299,80,56,37,6,10,1,1,0,0
"300",300,95,82,50,10,12,10,0,0,1
"301",301,84,57,42,6,7.5,5,0,1,1
"302",302,98,70,39,9,11.5,2,1,0,0
"303",303,109,79,45,13,14.5,5,0,0,1
"304",304,198,80,45,10,7,7,0,0,1
"305",305,130,81,56,9,6,7,1,1,0
"306",306,130,81,56,9,6,7,1,1,1
"307",307,179,73,47,6,3,10,1,1,1
"308",308,150,106,63,12,13.5,10,0,0,1
"309",309,115,75,47,8,6.5,15,1,1,0
"310",310,130,82,54,8,3.5,10,1,1,1
"311",311,150,67,39,8,12,5,1,0,1
"312",312,150,97,63,11,10,7,1,0,1
"313",313,139,80,48,10,10.5,15,1,0,1
"314",314,85,58,43,5,7,5,0,0,1
"315",315,161,108,60,13,14.5,10,0,1,1
"316",316,95,61,43,6,12,15,1,0,0
"317",317,140,67,46,9,8,15,1,0,1
"318",318,75,53,35,7,11.5,5,1,1,0
"319",319,75,53,35,7,11.5,5,1,1,0
"320",320,110,75,52,9,7.5,10,0,1,1
"321",321,140,76,44,10,12,2,1,0,1
"322",322,130,56,41,6,9,5,1,1,0
"323",323,124,96,52,10,13.5,5,1,0,1
"324",324,73,54,35,5,10.5,3,1,1,0
"325",325,151,102,70,9,10.5,12,1,1,1
"326",326,80,59,39,6,8,15,0,0,1
"327",327,82,60,41,6,11.5,5,1,1,1
"328",328,124,80,51,9,6,10,0,1,1
"329",329,103,75,45,10,12,5,0,1,1
"330",330,108,66,42,6,3.5,3,1,1,0
"331",331,98,75,50,8,11.5,5,0,0,1
"332",332,115,62,38,9,17,7,1,0,0
"333",333,170,80,50,8,9,15,0,1,1
"334",334,209,90,57,8,10.5,2,1,1,1
"335",335,90,78,45,10,13.5,10,0,0,1
"336",336,149,78,48,13,4.5,5,1,1,1
"337",337,122,96,51,12,13.5,10,0,0,0
"338",338,155,75,45,10,9,15,1,0,1
"339",339,260,110,56,15,12.5,3,1,1,1
"340",340,179,77,43,10,8,10,1,0,1
"341",341,192,123,68,16,14.5,10,0,0,0
"342",342,120,74,45,10,13,15,1,0,1
"343",343,103,74,45,8,12,5,1,1,0
"344",344,110,58,43,6,14.5,10,1,1,1
"345",345,91,78,45,10,17,10,1,0,1
"346",346,190,73,54,9,3,10,1,1,1
"347",347,128,57,38,6,9,5,1,1,1
"348",348,84,58,42,5,7.5,15,1,1,1
"349",349,74,53,34,6,10.5,7,0,1,0
"350",350,156,70,48,7,9,2,1,0,1
"351",351,145,62,41,9,9,5,1,0,1
"352",352,113,73,52,8,7.5,5,0,1,0
"353",353,144,95,62,11,10,10,1,0,1
"354",354,87,58,40,6,6.5,5,1,0,0
"355",355,160,86,51,8,12,2,1,1,1
"356",356,210,105,55,14,17,5,0,0,1
"357",357,200,100,66,21,9,15,1,1,1
"358",358,115,64,44,7,12,5,0,0,1
"359",359,95,77,45,10,13,5,0,0,1
"360",360,190,78,46,10,8,10,1,1,1
"361",361,115,65,39,8,13,10,0,0,1
"362",362,128,83,44,10,7,2,1,0,1
"363",363,71,54,34,6,7,7,0,0,0
"364",364,133,75,52,9,3,15,1,1,0
"365",365,160,101,51,15,7,7,1,0,1
"366",366,107,65,39,8,12.5,20,1,0,1
"367",367,105,78,54,9,11,10,1,1,1
"368",368,145,78,50,10,12,3,1,0,1
"369",369,117,80,44,13,10.5,10,0,0,1
"370",370,143,93,57,9,10.5,5,0,1,1
"371",371,105,54,34,6,3.5,7,1,0,1
"372",372,125,66,44,9,12.5,15,1,0,1
"373",373,86,51,35,6,17,10,1,0,0
"374",374,135,70,40,9,15.5,10,1,0,1
"375",375,74,60,43,6,13.5,5,0,0,0
"376",376,300,127,66,15,12.5,5,1,1,1
"377",377,78,58,44,6,7,7,1,0,0
"378",378,125,67,46,8,12.5,15,1,0,1
"379",379,104,72,46,11,12.5,10,0,1,0
"380",380,88,51,35,6,10.5,3,1,0,1
"381",381,128,72,53,8,3,10,1,1,0
"382",382,93,79,45,10,13,7,0,0,0
"383",383,86,55,40,5,7,2,0,0,1
"384",384,113,75,51,9,7.5,10,1,1,0
"385",385,68,57,37,6,13.5,15,1,0,0
"386",386,82,59,45,6,10,7,1,1,0
"387",387,98,72,44,7,11.5,7,1,1,0
"388",388,133,75,48,9,3,12,1,1,0
"389",389,205,88,59,9,9,10,1,1,0
"390",390,101,59,44,6,17,10,1,0,1
"391",391,75,65,45,7,14.5,10,0,0,1
"392",392,82,70,40,8,17,7,0,0,1
"393",393,75,56,37,5,10,5,0,0,1
"394",394,175,70,40,8,3,5,1,1,1
"395",395,100,78,44,9,13.5,20,0,0,1
"396",396,77,61,45,6,13.5,5,0,0,0
"397",397,135,76,44,10,12.7,2,1,0,0
"398",398,225,92,48,13,9,1,1,1,1
"399",399,143,74,45,11,11,5,1,0,1
"400",400,115,64,38,8,17,5,1,0,1
"401",401,127,85,46,14,12,7,1,1,1
"402",402,170,71,47,8,7.5,10,1,1,1
"403",403,170,80,45,13,12,10,1,0,1
"404",404,77,55,38,6,7.5,10,1,0,0
"405",405,89,59,38,6,12,15,1,0,1
"406",406,215,90,61,9,9,1,1,1,1
"407",407,80,55,41,5,11.5,3,1,1,1
"408",408,95,82,48,8,13,10,1,0,1
"409",409,169,70,44,8,8,5,1,1,1
"410",410,265,136,88,14,10.5,10,1,1,1
"411",411,170,89,51,12,12.7,6,1,0,0
"412",412,190,77,54,9,9,5,0,1,1
"413",413,130,75,44,8,12.7,3,1,0,1
"414",414,110,63,38,8,17,10,1,0,1
"415",415,112,72,51,8,6.5,5,1,1,0
"416",416,112,72,51,8,6.5,5,1,1,1
"417",417,143,85,52,9,5,8,1,1,1
"418",418,95,54,38,6,10.5,5,1,0,1
"419",419,105,60,43,6,17,5,1,0,1
"420",420,140,87,57,7,10.5,3,1,1,1
"421",421,193,100,56,12,12,10,0,1,1
"422",422,168,105,56,12,9,5,1,0,1
"423",423,85,57,42,6,7.5,15,1,1,1
"424",424,169,68,40,8,3,5,1,1,1
"425",425,100,75,45,10,12,10,1,1,1
"426",426,145,69,47,7,3.5,10,1,1,1
"427",427,80,58,43,6,10,10,1,1,1
"428",428,80,68,42,8,13.5,7,1,0,0
"429",429,100,80,51,10,13.5,10,0,0,1
"430",430,111,64,40,7,17,10,1,0,0
"431",431,75,55,36,6,11.5,10,1,1,1
"432",432,180,73,46,10,7.5,3,1,1,1
"433",433,125,79,56,8,7.5,10,1,1,1
"434",434,140,85,50,8,6.5,2,1,1,1
"435",435,95,75,43,11,14.5,10,0,0,1
"436",436,88,60,40,5,7,7,1,0,1
"437",437,155,80,46,13,12,15,1,0,0
"438",438,107,75,53,9,11.5,10,1,1,0
"439",439,165,100,54,12,6.5,3,1,0,1
"440",440,95,57,41,6,4.5,7,1,1,0
"441",441,150,68,46,9,12,5,1,1,1
"442",442,165,87,51,12,12.7,6,1,0,0
"443",443,180,83,53,8,10.5,5,1,0,1
"444",444,100,57,42,6,11,10,1,1,1
"445",445,129,79,47,8,10.5,15,1,0,1
"446",446,145,80,53,9,6,2,1,1,1
"447",447,93,60,43,6,17,15,0,0,1
"448",448,131,84,60,10,9,10,1,0,1
"449",449,168,104,60,16,12,10,1,0,1
"450",450,120,74,51,8,7,5,0,1,1
"451",451,140,78,45,10,12,2,1,0,1
"452",452,120,84,45,11,7,10,1,0,1
"453",453,74,56,37,6,15.5,7,0,1,0
"454",454,115,56,39,5,4.5,15,1,1,1
"455",455,87,56,37,6,7,7,0,1,1
"456",456,140,82,61,6,3.5,7,1,1,1
"457",457,70,50,32,5,11.5,7,0,1,0
"458",458,139,72,45,9,10.5,7,1,0,1
"459",459,135,68,32,13,3,10,1,1,1
"460",460,100,79,51,10,13.5,10,0,0,1
"461",461,165,75,45,10,12.5,5,1,0,1
"462",462,140,83,53,12,12,15,0,0,1
"463",463,147,65,46,8,3,10,1,0,1
"464",464,165,90,58,11,4.5,7,0,0,1
"465",465,135,77,41,11,13,10,1,0,1
"466",466,79,57,43,6,10.5,10,0,1,1
"467",467,138,77,45,10,13,5,0,0,1
"468",468,85,58,43,5,7,10,0,0,1
"469",469,141,74,43,10,15.5,10,0,0,1
"470",470,129,64,39,9,13.5,5,0,0,1
"471",471,115,68,46,7,14.5,15,1,0,1
"472",472,120,80,50,8,10.5,5,0,1,1
"473",473,372,158,80,20,10.5,10,1,0,1
"474",474,85,59,44,6,9,5,0,0,1
"475",475,100,78,44,8,13.5,20,0,0,1
"476",476,105,61,40,8,12,3,1,0,1
"477",477,85,58,45,6,10,3,1,0,1
"478",478,140,66,43,7,8,10,0,0,1
"479",479,133,65,47,8,12.5,2,1,0,1
"480",480,212,112,60,17,7,10,1,0,1
"481",481,98,64,43,7,12,15,1,0,1
"482",482,70,60,43,6,17,10,1,0,1
"483",483,129,66,44,9,9,15,1,0,0
"484",484,205,93,66,9,9,10,1,1,1
"485",485,185,73,45,8,3,2,1,1,1
"486",486,90,54,42,6,17,10,1,0,1
"487",487,100,75,45,10,13.5,5,1,0,0
"488",488,145,96,56,9,11,15,1,1,0
"489",489,130,60,42,7,9,10,1,1,0
"490",490,130,78,53,9,3.5,10,1,1,1
"491",491,112,74,52,7,11,5,1,1,0
"492",492,130,74,53,7,4.5,7,1,1,1
"493",493,222,134,75,16,12,5,1,0,1
"494",494,153,87,66,9,7.5,10,1,1,1
"495",495,108,78,47,10,12,3,1,0,0
"496",496,116,66,47,8,12,10,0,0,1
"497",497,153,75,45,10,7,15,1,0,0
"498",498,155,85,47,11,12.7,5,1,0,1
"499",499,155,85,47,11,12.7,5,1,0,1
"500",500,113,54,34,6,3,10,1,0,1
"501",501,169,95,58,14,9,7,0,1,1
"502",502,85,65,43,10,12,5,0,0,1
"503",503,129,59,41,6,9,5,1,1,0
"504",504,135,77,46,10,12.7,2,1,0,1
"505",505,106,72,52,9,11.5,7,0,1,1
"506",506,180,78,52,8,9,1,1,1,1
"507",507,139,74,52,9,10.5,7,1,0,1
"508",508,145,84,53,10,15.5,15,1,0,1
"509",509,219,113,60,20,9,10,1,0,1
"510",510,185,75,48,10,7,3,1,1,1
"511",511,123,79,45,13,9,20,1,0,1
"512",512,150,75,46,11,9,15,1,0,1
"513",513,145,82,47,10,14.5,15,1,0,1
"514",514,118,74,52,9,7.5,7,0,1,1
"515",515,82,56,39,5,10.5,5,0,1,1
"516",516,108,79,47,8,14.5,3,0,0,0
"517",517,75,56,38,6,10,7,1,0,1
"518",518,80,58,43,5,7,7,1,0,1
"519",519,210,81,48,10,3,5,1,1,1
"520",520,113,70,50,9,6,10,1,0,0
"521",521,120,82,53,9,11.5,10,0,1,1
"522",522,77,58,37,5,7,12,0,0,1
"523",523,156,83,55,9,10.5,10,1,1,1
"524",524,160,87,56,9,3,10,1,0,1
"525",525,81,59,42,6,12,10,1,1,1
"526",526,120,77,45,10,7,10,1,0,1
"527",527,98,60,44,6,14.5,15,1,0,1
"528",528,97,75,45,10,13,5,0,0,1
"529",529,153,87,55,10,6.5,5,0,1,1
"530",530,113,84,54,10,13,5,0,0,1
"531",531,95,76,45,10,14.5,10,0,0,1
"532",532,145,88,52,12,6.5,7,1,1,1
"533",533,75,55,36,6,14.5,7,0,1,0
"534",534,145,69,43,7,3.5,3,1,1,1
"535",535,81,58,40,6,12.5,7,1,1,1
"536",536,101,77,45,13,13,10,0,0,1
"537",537,114,59,39,6,3.5,5,1,0,1
"538",538,270,105,74,10,5,1,1,1,1
"539",539,130,73,41,10,12,5,0,0,1
"540",540,110,74,53,8,11,15,1,1,0
"541",541,90,57,38,6,7.5,6,1,1,0
"542",542,113,77,44,10,9,7,0,0,1
"543",543,117,80,53,8,11.5,10,0,1,0
"544",544,120,69,40,9,13.5,15,1,0,1
"545",545,118,63,37,8,14.5,5,1,0,1
"546",546,140,82,49,8,13,5,1,0,1
"547",547,115,78,54,8,11.5,10,1,1,1
"548",548,195,83,55,9,9,3,1,1,1
"549",549,150,66,47,9,7,3,1,0,1
"550",550,82,58,35,11,12.5,10,0,0,0
"551",551,145,76,51,8,3,5,1,1,0
"552",552,162,71,49,9,9,10,1,1,1
"553",553,135,72,43,9,10.5,15,1,0,0
"554",554,130,87,57,7,13.5,7,1,1,0
"555",555,110,65,43,7,12,10,0,0,1
"556",556,197,101,60,15,7,7,0,1,1
"557",557,110,75,52,9,11.5,10,1,1,0
"558",558,102,58,38,6,15.5,8,1,0,1
"559",559,167,74,45,11,5,10,1,0,1
"560",560,163,72,43,9,7,10,0,1,1
"561",561,120,60,37,8,12,8,0,0,1
"562",562,160,73,41,8,7,5,0,0,0
"563",563,105,53,39,5,3.5,7,1,1,0
"564",564,105,67,45,8,7.5,5,0,0,0
"565",565,127,79,45,13,12,3,1,0,1
"566",566,114,79,45,13,14.5,7,0,0,1
"567",567,132,74,53,7,4.5,7,1,1,1
"568",568,88,51,34,6,14.5,10,1,0,1
"569",569,82,55,34,5,10.5,5,0,1,1
"570",570,153,66,43,9,5,10,1,1,1
"571",571,131,74,43,10,13.5,15,1,0,1
"572",572,95,72,43,12,12.7,7,0,0,0
"573",573,95,72,43,12,12.7,7,0,0,0
"574",574,115,74,45,10,13,15,1,0,1
"575",575,115,74,45,10,13,15,1,0,1
"576",576,115,75,42,8,12,15,0,0,1
"577",577,115,75,42,8,12,15,0,0,1
"578",578,93,59,44,6,7,5,0,0,0
"579",579,92,70,50,6,12,5,0,0,1
"580",580,160,75,44,10,12,5,1,0,1
"581",581,77,58,42,6,12.5,5,0,0,0
